 Supply Air Temperature, Supply Air Temperature Heating Set Point, Supply Air Temperature Cooling Set Point, Outdoor Air Temperature, Mixed Air Temperature, Return Air Temperature, Outdoor Air Damper Control Signal  , Return Air Damper Control Signal, Exhaust Air Damper Control Signal    , Cooling Coil Valve Control Signal, Heating Coil Valve Control Signal,fault type
71.84,50,86,58.09,70.9,71.24,0.08625,1,0,0,0,F1
71.76,50,86,58.09,69.8,71.25,0.15,1,0,0,0,F1
71.54,50,86,58.09,69,71.24,0.15,1,0,0,0,F1
71.28,50,86,58.09,68.58,71.2,0.15,1,0,0,0,F1
70.99,50,86,58.09,68.32,71.15,0.15,1,0,0,0,F1
70.73,50,86,58.09,68.18,71.07,0.15,1,0,0,0,F1
70.48,50,86,58.09,68.03,70.98,0.15,1,0,0,0,F1
70.26,50,86,58.09,67.92,70.88,0.15,1,0,0,0,F1
70.09,50,86,58.09,67.84,70.79,0.15,1,0,0,0,F1
69.91,50,86,58.09,67.74,70.72,0.15,1,0,0,0,F1
69.75,50.01,86,58.09,67.62,70.63,0.15,1,0,0,0,F1
69.61,50.26,86,58.09,67.52,70.55,0.15,1,0,0,0,F1
69.48,50.36,86,58.09,67.5,70.49,0.15,1,0,0,0,F1
69.37,50.4,86,58.09,67.45,70.41,0.15,1,0,0,0,F1
69.26,50.98,86,58.09,67.38,70.33,0.15,1,0,0,0,F1
69.17,50.99,86,59.35,67.27,70.24,0.15,1,0,0,0,F1
69.09,51.23,86,59.35,67.2,70.18,0.15,1,0,0,0,F1
69.01,51.28,86,59.35,67.18,70.13,0.15,1,0,0,0,F1
68.92,51.51,86,59.35,67.17,70.06,0.15,1,0,0,0,F1
68.86,51.69,86,59.35,67.16,70.01,0.15,1,0,0,0,F1
68.8,51.86,86,59.35,67.11,69.95,0.15,1,0,0,0,F1
68.74,51.64,86,59.35,67.1,69.91,0.15,1,0,0,0,F1
68.7,52.25,86,59.35,67.05,69.87,0.15,1,0,0,0,F1
68.66,52.51,86,59.35,66.98,69.82,0.15,1,0,0,0,F1
68.61,52.92,86,59.35,66.96,69.79,0.15,1,0,0,0,F1
68.57,52.96,86,59.35,66.96,69.75,0.15,1,0,0,0,F1
68.52,53.09,86,59.35,66.91,69.71,0.15,1,0,0,0,F1
68.49,53.41,86,59.35,66.84,69.67,0.15,1,0,0,0,F1
68.44,53.45,86,59.35,66.77,69.66,0.15,1,0,0,0,F1
68.39,53.75,86,59.35,66.65,69.62,0.15,1,0,0,0,F1
68.32,54.18,86,60.54,66.62,69.59,0.15,1,0,0,0,F1
68.26,54.19,86,60.54,66.61,69.55,0.15,1,0,0,0,F1
68.2,54.22,86,60.54,66.51,69.5,0.15,1,0,0,0,F1
