 Supply Air Temperature, Supply Air Temperature Heating Set Point, Supply Air Temperature Cooling Set Point, Outdoor Air Temperature, Mixed Air Temperature, Return Air Temperature, Outdoor Air Damper Control Signal  , Return Air Damper Control Signal, Exhaust Air Damper Control Signal    , Cooling Coil Valve Control Signal, Heating Coil Valve Control Signal,fault type
68.24,50.0,86.0,56.59,67.34,70.78,0.15,1.0,0.0,0.0,0.0,F1
66.44,50.0,50.0,63.26,62.21,70.85,1.0,0.0,0.5,1.0,0.0,F1
66.31,50.0,50.0,63.08,61.32,72.06,1.0,0.0,0.5,1.0,0.0,F1
69.08,50.0,83.02,56.98,68.45,71.35,0.15,1.0,0.0,0.0,0.0,F1
65.3,50.0,50.0,62.57,60.68,70.03,1.0,0.0,0.5,1.0,0.0,F1
66.15,50.0,50.0,65.08,61.38,72.11,1.0,0.0,0.5,1.0,0.0,F1
69.59,50.0,79.31,59.42,68.65,71.77,0.15,1.0,0.0,0.0,0.0,F1
65.84,50.0,50.0,62.9,61.31,71.96,1.0,0.0,0.5,1.0,0.0,F1
70.22,50.0,71.7,60.45,69.32,72.36,0.15,1.0,0.0,0.0,0.0,F1
65.84,50.0,50.0,62.9,61.41,71.89,1.0,0.0,0.5,1.0,0.0,F1
67.74,50.0,50.0,64.8,63.24,71.81,1.0,0.0,0.5,1.0,0.0,F1
65.38,50.0,50.0,63.16,61.07,71.79,1.0,0.0,0.5,1.0,0.0,F1
66.3,50.0,50.0,63.5,61.54,71.86,1.0,0.0,0.5,1.0,0.0,F1
66.61,50.0,50.0,63.95,62.27,71.59,1.0,0.0,0.5,1.0,0.0,F1
65.74,50.0,50.0,64.06,60.21,70.99,1.0,0.0,0.5,1.0,0.0,F1
67.78,50.0,50.0,64.8,63.72,71.83,1.0,0.0,0.5,1.0,0.0,F1
67.19,50.0,50.0,64.14,62.42,72.01,1.0,0.0,0.5,1.0,0.0,F1
67.85,50.0,86.0,56.33,66.74,70.19,0.15,1.0,0.0,0.0,0.0,F1
65.28,50.0,50.0,62.12,60.36,70.85,1.0,0.0,0.5,1.0,0.0,F1
66.75,50.0,50.0,63.17,62.9,70.93,1.0,0.0,0.5,1.0,0.0,F1
69.51,50.0,80.89,59.42,68.51,71.7,0.15,1.0,0.0,0.0,0.0,F1
68.44,50.0,85.25,56.98,67.7,70.97,0.15,1.0,0.0,0.0,0.0,F1
64.66,50.0,54.53,61.5,59.56,70.76,1.0,0.0,0.5,1.0,0.0,F1
66.96,60.94,86.0,56.39,65.56,68.61,0.15,1.0,0.0,0.0,0.0,F1
66.23,50.0,50.0,63.51,61.85,71.33,1.0,0.0,0.5,1.0,0.0,F1
71.84,50.0,86.0,58.09,70.9,71.24,0.08625,1.0,0.0,0.0,0.0,F1
67.25,50.0,50.0,64.53,63.31,71.65,1.0,0.0,0.5,1.0,0.0,F1
67.16,50.0,50.0,64.06,62.29,71.11,1.0,0.0,0.5,1.0,0.0,F1
67.27,55.92,86.0,56.61,66.11,69.57,0.15,1.0,0.0,0.0,0.0,F1
67.25,66.15,86.0,58.97,65.88,69.07,0.15,1.0,0.0,0.0,0.091001001,F1
64.64,50.0,55.37,61.49,59.46,69.53,1.0,0.0,0.5,1.0,0.0,F1
67.99,55.56,86.0,60.54,66.33,69.37,0.15,1.0,0.0,0.0,0.0,F1
66.69,50.0,50.0,63.95,61.87,71.6,1.0,0.0,0.5,1.0,0.0,F1
66.86,62.78,86.0,56.39,65.33,68.5,0.15,1.0,0.0,0.0,0.0,F1
68.05,69.43,86.0,56.27,66.33,69.25,0.15,1.0,0.0,0.0,0.239718516,F1
66.58,50.0,50.0,63.95,62.04,71.59,1.0,0.0,0.5,1.0,0.0,F1
65.25,50.0,50.0,61.87,60.99,70.48,1.0,0.0,0.5,1.0,0.0,F1
66.98,50.0,50.0,64.06,61.89,71.13,1.0,0.0,0.5,1.0,0.0,F1
65.69,50.0,50.0,63.51,61.35,71.24,1.0,0.0,0.5,1.0,0.0,F1
65.23,50.0,50.0,61.83,60.81,70.89,1.0,0.0,0.5,1.0,0.0,F1
57.37,57.76,86.0,67.0,64.44,63.73,0.15,1.0,0.0,0.0,0.309245403,F2
54.51,55.03,86.0,65.67,64.76,64.34,0.15,1.0,0.0,0.0,0.314536458,F2
52.9,53.28,86.0,66.89,63.43,62.25,0.15,1.0,0.0,0.0,0.25068288,F2
52.39,52.56,86.0,67.62,63.82,62.55,0.15,1.0,0.0,0.0,0.219291695,F2
73.76,86.0,86.0,51.62,65.47,70.43,0.15,1.0,0.0,0.0,1.0,F2
63.85,63.97,86.0,63.47,65.88,66.86,0.15,1.0,0.0,0.0,0.388842107,F2
59.97,58.76,86.0,59.41,64.46,66.02,0.15,1.0,0.0,0.0,0.253991068,F2
54.89,54.75,86.0,66.52,65.13,64.13,0.15,1.0,0.0,0.0,0.286153157,F2
63.47,60.52,86.0,56.48,65.15,68.66,0.15,1.0,0.0,0.0,0.396768942,F2
60.94,60.32,86.0,56.0,63.62,66.47,0.15,1.0,0.0,0.0,0.395037004,F2
54.25,54.48,86.0,68.25,63.94,62.67,0.15,1.0,0.0,0.0,0.302494222,F2
61.11,60.82,86.0,56.0,63.69,66.56,0.15,1.0,0.0,0.0,0.376443815,F2
64.59,64.91,86.0,62.64,65.88,67.16,0.15,1.0,0.0,0.0,0.410612326,F2
67.72,86.0,86.0,51.07,62.63,64.81,0.15,1.0,0.0,0.0,1.0,F2
56.96,57.22,86.0,67.0,64.29,63.55,0.15,1.0,0.0,0.0,0.322234827,F2
62.64,62.53,86.0,64.67,65.58,66.28,0.15,1.0,0.0,0.0,0.340804812,F2
74.23,86.0,86.0,51.62,65.67,70.82,0.15,1.0,0.0,0.0,1.0,F2
74.48,86.0,86.0,52.62,66.73,72.07,0.15,1.0,0.0,0.0,1.0,F2
60.92,60.49,86.0,56.0,63.7,66.57,0.15,1.0,0.0,0.0,0.385514307,F2
52.37,51.84,86.0,66.64,64.34,63.13,0.15,1.0,0.0,0.0,0.180760649,F2
60.21,59.87,86.0,57.03,64.15,66.0,0.15,1.0,0.0,0.0,0.334205179,F2
52.93,51.73,86.0,67.71,64.34,62.91,0.15,1.0,0.0,0.0,0.128978463,F2
51.69,52.04,86.0,67.95,63.99,62.09,0.15,1.0,0.0,0.0,0.25977967,F2
52.67,53.42,86.0,66.89,63.55,62.28,0.15,1.0,0.0,0.0,0.279319838,F2
53.75,53.57,86.0,68.56,65.31,63.59,0.15,1.0,0.0,0.0,0.229554799,F2
52.11,52.5,86.0,67.95,63.87,62.29,0.15,1.0,0.0,0.0,0.238765421,F2
57.82,57.92,86.0,61.9,64.58,65.28,0.15,1.0,0.0,0.0,0.3257575,F2
75.53,86.0,86.0,52.22,66.49,71.87,0.15,1.0,0.0,0.0,1.0,F2
55.41,55.58,86.0,65.0,64.95,64.96,0.15,1.0,0.0,0.0,0.314730484,F2
51.23,51.07,86.0,67.71,64.19,62.74,0.15,1.0,0.0,0.0,0.195175409,F2
55.05,54.11,86.0,67.28,64.98,63.94,0.15,1.0,0.0,0.0,0.238188375,F2
59.08,59.85,86.0,65.28,65.39,65.38,0.15,1.0,0.0,0.0,0.354202004,F2
