 Supply Air Temperature, Supply Air Temperature Heating Set Point, Supply Air Temperature Cooling Set Point, Outdoor Air Temperature, Mixed Air Temperature, Return Air Temperature, Outdoor Air Damper Control Signal  , Return Air Damper Control Signal, Exhaust Air Damper Control Signal    , Cooling Coil Valve Control Signal, Heating Coil Valve Control Signal,fault type
71.24,71.55,86.0,60.96,68.59,70.87,0.15,1.0,0.0,0.0,0.270043729,Normal
66.06,50.0,62.98,67.47,65.85,68.75,1.0,0.0,0.5,0.379358355,0.0,Normal
65.64,50.0,63.21,69.84,66.28,69.18,1.0,0.0,0.5,0.47114094,0.0,Normal
61.34,50.0,61.36,67.47,66.62,68.82,1.0,0.03757215,0.48121391,0.0,0.0,Normal
62.44,50.0,60.13,67.56,69.5,70.31,1.0,0.81473999,0.09263,0.0,0.0,Normal
60.29,50.0,61.96,68.01,66.23,70.11,1.0,0.0,0.5,0.01373797,0.0,Normal
67.59,50.0,64.82,69.27,67.34,68.95,1.0,0.0,0.5,0.24464226,0.0,Normal
78.19,75.25,86.0,60.32,69.34,72.71,0.15,1.0,0.0,0.0,0.18645506,Normal
65.1,50.0,63.56,68.68,67.2,68.12,1.0,0.0,0.5,0.17504122,0.0,Normal
65.48,50.0,62.77,69.27,67.66,69.44,1.0,0.0,0.5,0.3634919,0.0,Normal
68.8,50.0,62.99,68.5,66.49,69.53,1.0,0.0,0.5,0.29847708,0.0,Normal
77.56,75.25,86.0,60.32,69.56,73.06,0.15,1.0,0.0,0.0,0.18645506,Normal
65.21,50.0,63.74,68.85,66.6,68.81,1.0,0.0,0.5,0.07181951,0.0,Normal
78.97,78.41,86.0,59.15,67.81,71.2,0.15,1.0,0.0,0.0,0.08957399,Normal
59.17,50.0,62.39,70.38,67.29,68.37,1.0,0.194714779,0.402642609,0.023627468,0.0,Normal
61.93,50.0,62.94,67.47,66.29,68.94,1.0,0.0,0.5,0.531502307,0.0,Normal
70.36,50.0,86.0,64.24,69.77,71.3,0.15,1.0,0.0,0.0,0.0,Normal
62.42,50.0,65.12,69.41,66.82,68.73,1.0,0.40806595,0.29596704,0.0,0.0,Normal
70.04,50.0,86.0,62.99,69.46,71.0,0.15,1.0,0.0,0.0,0.0,Normal
65.89,50.0,64.32,68.01,66.01,69.72,1.0,0.0,0.5,0.410744717,0.0,Normal
67.25,50.0,61.96,67.56,66.33,70.01,1.0,0.0334398,0.48328011,0.0,0.0,Normal
67.11,50.0,64.82,69.27,66.96,68.8,1.0,0.0,0.5,0.24464226,0.0,Normal
66.47,50.0,64.17,70.11,68.07,68.32,1.0,0.0,0.5,0.27015535,0.0,Normal
67.67,50.0,64.4,71.18,68.9,68.68,1.0,0.0,0.5,0.5328717,0.0,Normal
