Supply Air Temperature,Supply Air Temperature Heating Set Point,Supply Air Temperature Cooling Set Point,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Exhaust Air Damper Control Signal,Cooling Coil Valve Control Signal,Heating Coil Valve Control Signal,fault type
58.28,54.86,72.5,75.58,75.42,71.64,0.1,0.15,1,0.1,0,0,F1
58.31,54.78,72.5,75.49,75.39,72.02,0.1,0.15,1,0.1,0,0,F1
58.31,54.08,72.5,75.55,75.57,72.62,0.1,0.15,1,0.1,0,0,F1
58.29,53.41,72.5,75.71,75.88,73.2,0.1,0.15,1,0.1,0,0,F1
58.18,53.04,72.5,75.75,76.27,73.82,0.11,0.15,1,0.1,0,0,F1
58,53.04,72.5,75.78,76.64,74.43,0.12,0.15,1,0.1,0,0,F1
57.81,53.04,72.5,76.06,76.92,75.07,0.13,0.15,1,0.1,0,0,F1
57.62,53.04,72.5,76.03,77.16,75.65,0.14,0.15,1,0.1,0,0,F1
57.5,53.04,72.5,76.16,77.38,76.13,0.15,0.14,1,0.1,0,0,F1
57.4,53.04,72.5,76.09,77.65,76.51,0.16,0.14,1,0.1,0,0,F1
57.32,53.04,72.5,76.15,77.89,76.86,0.16,0.14,1,0.1,0,0,F1
57.31,53.04,72.5,76.08,78.07,77.12,0.17,0.14,1,0.1,0,0,F1
57.31,53.04,72.5,76.24,78.3,77.31,0.19,0.14,1,0.1,0,0,F1
57.34,53.04,72.5,76.08,78.45,77.35,0.2,0.14,1,0.1,0,0,F1
57.44,53.04,72.5,76.19,78.56,77.29,0.2,0.14,1,0.1,0,0,F1
57.55,53.04,72.5,76.42,78.58,77.19,0.2,0.14,1,0.1,0,0,F1
57.67,53.04,72.5,76.5,78.53,77.03,0.21,0.14,1,0.1,0,0,F1
57.8,53.04,72.5,76.44,78.49,76.85,0.21,0.14,1,0.1,0,0,F1
57.93,53.04,72.5,76.67,78.45,76.69,0.22,0.14,1,0.1,0,0,F1
58.05,53.04,72.2,76.71,78.4,76.55,0.21,0.14,1,0.1,0,0,F1
58.17,53.04,71.55,76.75,78.38,76.42,0.21,0.14,1,0.1,0,0,F1
58.29,53.04,70.62,76.91,78.41,76.44,0.2,0.14,1,0.1,0,0,F1
58.41,53.04,69.86,77.06,78.45,76.46,0.2,0.14,1,0.1,0,0,F1
58.51,53.04,69.09,76.99,78.48,76.46,0.2,0.14,1,0.1,0,0,F1
58.63,53.04,68.16,76.97,78.52,76.49,0.2,0.14,1,0.1,0,0,F1
58.76,53.04,67.47,76.98,78.49,76.45,0.19,0.14,1,0.1,0,0,F1
58.87,53.04,66.71,77.07,78.49,76.48,0.2,0.14,1,0.1,0,0,F1
59,53.04,65.8,76.78,78.52,76.5,0.21,0.14,1,0.1,0,0,F1
59.1,53.04,64.96,76.42,78.48,76.43,0.22,0.14,1,0.1,0,0,F1
59.22,53.04,64.32,76.22,78.44,76.37,0.21,0.14,1,0.1,0,0,F1
59.32,53.04,63.46,76.54,78.41,76.28,0.2,0.14,1,0.1,0,0,F1
59.43,53.04,62.61,76.71,78.37,76.21,0.19,0.14,1,0.1,0,0,F1
59.53,53.04,61.86,76.89,78.39,76.22,0.19,0.14,1,0.1,0,0,F1
59.63,53.04,61.1,76.93,78.39,76.27,0.2,0.14,1,0.1,0,0,F1
59.75,53.04,59.56,76.78,78.46,76.32,0.2,0.14,1,0.1,0.03,0,F1
59.87,53.04,58.76,76.78,78.5,76.38,0.2,0.14,1,0.1,0.08,0,F1
60.02,53.04,57.92,76.78,78.53,76.42,0.2,0.14,1,0.1,0.13,0,F1
60.2,53.04,56.95,76.78,78.55,76.45,0.21,0.14,1,0.1,0.18,0,F1
60.4,53.04,55.9,76.74,78.56,76.46,0.2,0.14,1,0.1,0.24,0,F1
60.6,53.04,55.04,76.96,78.6,76.48,0.22,0.14,1,0.1,0.26,0,F1
60.83,53.04,55.04,77.18,78.64,76.47,0.23,0.13,1,0.1,0.28,0,F1
61.09,53.04,55.04,77.35,78.65,76.41,0.24,0.13,1,0.1,0.3,0,F1
61.38,53.04,55.04,77.64,78.71,76.39,0.26,0.13,1,0.1,0.31,0,F1
61.65,53.04,55.04,77.95,78.7,76.26,0.26,0.13,1,0.1,0.33,0,F1
61.93,53.04,55.04,78.3,78.69,76.14,0.29,0.13,1,0.1,0.35,0,F1
62.21,53.04,55.04,78.25,78.68,76.03,0.3,0.13,1,0.1,0.38,0,F1
62.49,53.04,55.04,78.56,78.63,75.85,0.32,0.12,1,0.1,0.4,0,F1
62.8,53.04,55.04,78.66,78.57,75.66,0.33,0.12,1,0.1,0.42,0,F1
63.1,53.04,55.04,79.2,78.64,75.59,0.35,0.12,1,0.1,0.44,0,F1
63.41,53.04,55.04,79.17,78.54,75.37,0.37,0.12,1,0.1,0.46,0,F1
63.74,53.04,55.04,79.26,78.55,75.26,0.39,0.11,1,0.1,0.49,0,F1
64.07,53.04,55.04,79.85,78.56,75.11,0.41,0.11,1,0.1,0.51,0,F1
64.41,53.04,55.04,79.51,78.52,74.98,0.42,0.11,1,0.1,0.54,0,F1
64.75,53.04,55.04,79.98,78.47,74.81,0.44,0.11,1,0.1,0.56,0,F1
65.02,53.04,55.04,79.96,78.37,74.6,0.46,0.1,1,0.1,0.59,0,F1
64.97,53.04,55.04,79.7,78.24,74.37,0.48,0.1,1,0.1,0.6,0,F1
64.58,53.04,55.04,80.09,78.17,74.18,0.5,0.1,1,0.1,0.6,0,F1
64.04,53.04,55.04,80.27,78.07,73.91,0.5,0.1,1,0.1,0.59,0,F1
63.38,53.04,55.04,80.39,77.93,73.7,0.5,0.1,1,0.1,0.57,0,F1
62.69,53.04,55.04,79.9,77.75,73.45,0.5,0.1,1,0.1,0.55,0,F1
62.03,53.04,55.04,80.29,77.61,73.21,0.5,0.1,1,0.1,0.53,0,F1
61.4,53.04,55.04,80.48,77.51,73.02,0.5,0.1,1,0.1,0.51,0,F1
60.77,53.04,55.04,80.58,77.37,72.78,0.5,0.1,1,0.1,0.48,0,F1
60.18,53.04,55.04,80.55,77.17,72.5,0.5,0.1,1,0.1,0.46,0,F1
59.63,53.04,55.04,80.3,76.96,72.18,0.5,0.1,1,0.1,0.44,0,F1
59.12,53.04,55.04,80.8,76.83,71.93,0.5,0.1,1,0.1,0.43,0,F1
58.63,53.04,55.04,80.94,76.63,71.63,0.5,0.1,1,0.1,0.41,0,F1
58.16,53.04,55.04,80.68,76.42,71.34,0.5,0.1,1,0.1,0.39,0,F1
57.74,53.04,55.04,80.6,76.27,71.12,0.5,0.1,1,0.1,0.37,0,F1
57.33,53.04,55.04,80.8,76.14,70.93,0.5,0.1,1,0.1,0.36,0,F1
56.97,53.04,55.04,81.01,76.01,70.68,0.5,0.1,1,0.1,0.35,0,F1
56.62,53.04,55.04,81.18,75.88,70.48,0.5,0.1,1,0.1,0.33,0,F1
56.29,53.04,55.04,81.16,75.67,70.24,0.5,0.1,1,0.1,0.32,0,F1
55.99,53.04,55.04,80.94,75.48,69.97,0.5,0.1,1,0.1,0.31,0,F1
55.7,53.04,55.04,80.71,75.33,69.75,0.5,0.1,1,0.1,0.29,0,F1
55.43,53.04,55.04,81.1,75.24,69.57,0.5,0.1,1,0.1,0.28,0,F1
55.15,53.04,55.04,81.34,75.14,69.42,0.5,0.1,1,0.1,0.27,0,F1
54.91,53.04,55.04,81.35,75.08,69.29,0.5,0.1,1,0.1,0.26,0,F1
54.69,53.04,55.04,81.46,74.93,69.09,0.5,0.1,1,0.1,0.25,0,F1
54.45,53.04,55.04,81.31,74.8,68.91,0.5,0.1,1,0.1,0.24,0,F1
54.22,53.04,55.04,81.22,74.71,68.77,0.5,0.1,1,0.1,0.23,0,F1
54.08,53.04,55.04,81.01,74.59,68.62,0.5,0.1,1,0.1,0.22,0,F1
54.05,53.04,55.04,81.4,74.48,68.49,0.5,0.1,1,0.1,0.21,0,F1
54.21,53.04,55.04,81.23,74.37,68.37,0.5,0.1,1,0.1,0.22,0,F1
54.5,53.04,55.04,81.37,74.39,68.36,0.5,0.1,1,0.1,0.23,0,F1
54.86,53.04,55.04,82.04,74.47,68.39,0.5,0.1,1,0.1,0.24,0,F1
55.25,53.04,55.04,82.1,74.51,68.36,0.5,0.1,1,0.1,0.26,0,F1
55.65,53.04,55.04,82.11,74.49,68.32,0.5,0.1,1,0.1,0.28,0,F1
56.06,53.04,55.04,82.43,74.57,68.43,0.5,0.1,1,0.1,0.3,0,F1
56.44,53.04,55.04,82.51,74.69,68.58,0.5,0.1,1,0.1,0.31,0,F1
56.79,53.04,55.04,82.44,74.72,68.65,0.5,0.1,1,0.1,0.33,0,F1
57.13,53.04,55.04,82.27,74.75,68.69,0.5,0.1,1,0.1,0.35,0,F1
57.46,53.04,55.04,82.37,74.79,68.8,0.5,0.1,1,0.1,0.37,0,F1
57.8,53.04,55.04,82.24,74.9,68.96,0.5,0.1,1,0.1,0.38,0,F1
58.14,53.04,55.04,82.71,75.03,69.15,0.5,0.1,1,0.1,0.4,0,F1
58.47,53.04,55.04,82.82,75.2,69.32,0.5,0.1,1,0.1,0.42,0,F1
58.82,53.04,55.04,83.15,75.28,69.36,0.5,0.1,1,0.1,0.44,0,F1
59.16,53.04,55.04,82.85,75.4,69.49,0.5,0.1,1,0.1,0.46,0,F1
59.48,53.04,55.04,83.26,75.6,69.65,0.5,0.1,1,0.1,0.48,0,F1
59.81,53.04,55.04,82.79,75.71,69.81,0.5,0.1,1,0.1,0.5,0,F1
60.14,53.04,55.04,83.63,75.82,69.97,0.5,0.1,1,0.1,0.52,0,F1
60.47,53.04,55.04,83.51,75.93,70.13,0.5,0.1,1,0.1,0.54,0,F1
60.8,53.04,55.04,83.29,76.03,70.28,0.5,0.1,1,0.1,0.56,0,F1
61.12,53.04,55.04,83.58,76.14,70.41,0.5,0.1,1,0.1,0.58,0,F1
61.26,53.04,55.04,83,76.22,70.57,0.5,0.1,1,0.1,0.6,0,F1
61.14,53.04,55.04,83.49,76.3,70.67,0.5,0.1,1,0.1,0.6,0,F1
60.76,53.04,55.04,83.78,76.37,70.73,0.5,0.1,1,0.1,0.6,0,F1
60.25,53.04,55.04,84.1,76.5,70.79,0.5,0.1,1,0.1,0.58,0,F1
59.71,53.04,55.04,84.09,76.52,70.76,0.5,0.1,1,0.1,0.56,0,F1
59.16,53.04,55.04,84.65,76.52,70.7,0.5,0.1,1,0.1,0.54,0,F1
58.61,53.04,55.04,84.42,76.46,70.63,0.5,0.1,1,0.1,0.52,0,F1
58.08,53.04,55.04,84.41,76.44,70.48,0.5,0.1,1,0.1,0.5,0,F1
57.57,53.04,55.04,84.76,76.38,70.31,0.5,0.1,1,0.1,0.48,0,F1
57.09,53.04,55.04,85.14,76.29,70.15,0.5,0.1,1,0.1,0.46,0,F1
56.63,53.04,55.04,84.54,76.17,69.95,0.5,0.1,1,0.1,0.45,0,F1
