Supply Air Temperature,Supply Air Temperature Heating Set Point,Supply Air Temperature Cooling Set Point,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Exhaust Air Damper Control Signal,Cooling Coil Valve Control Signal,Heating Coil Valve Control Signal,fault type
59.01,53.04,55.04,79.04,76.08,71.55,0.27,0.13,1.0,0.1,0.72,0.0,F1
58.26,53.04,59.74,69.77,69.79,71.81,0.25,1.0,0.0,0.9,0.31,0.0,F1
57.74,53.04,55.04,80.6,76.27,71.12,0.5,0.1,1.0,0.1,0.37,0.0,F1
51.82,53.04,55.04,86.65,74.2,66.77,0.37,0.12,1.0,0.1,0.38,0.0,F1
49.71,53.04,55.04,73.72,74.14,70.28,0.21,0.14,1.0,0.1,0.31,0.0,F1
50.0,53.04,55.04,72.88,74.02,70.69,0.2,0.14,1.0,0.1,0.28,0.0,F1
58.28,54.86,72.5,75.58,75.42,71.64,0.1,0.15,1.0,0.1,0.0,0.0,F1
53.78,53.04,55.04,84.1,74.99,68.36,0.5,0.1,1.0,0.1,0.32,0.0,F1
52.74,53.04,55.04,86.66,74.69,67.38,0.5,0.1,1.0,0.1,0.34,0.0,F1
55.7,53.04,55.04,86.33,75.36,68.4,0.5,0.1,1.0,0.1,0.6,0.0,F1
75.37,53.04,55.04,72.4,83.05,82.71,0.5,0.1,1.0,0.1,1.0,0.0,F2
87.12,53.04,55.04,69.85,70.98,83.85,0.5,1.0,0.0,0.9,1.0,0.0,F2
80.22,53.04,55.04,77.66,84.55,83.51,0.5,0.1,1.0,0.1,1.0,0.0,F2
82.52,53.04,55.04,64.83,66.85,84.16,0.5,1.0,0.0,0.9,1.0,0.0,F2
78.79,53.04,55.04,70.2,70.83,82.35,0.5,1.0,0.0,0.9,1.0,0.0,F2
81.99,53.04,55.04,66.52,68.78,84.05,0.5,1.0,0.0,0.9,1.0,0.0,F2
77.64,53.04,55.04,74.6,84.37,83.8,0.5,0.1,1.0,0.1,1.0,0.0,F2
83.13,53.04,55.04,63.09,65.41,82.78,0.5,1.0,0.0,0.9,1.0,0.0,F2
89.74,53.04,55.04,74.95,88.4,89.54,0.5,0.1,1.0,0.1,1.0,0.0,F2
82.39,53.04,55.04,65.77,67.7,84.17,0.5,1.0,0.0,0.9,1.0,0.0,F2
85.62,53.04,55.04,65.04,67.25,86.0,0.5,1.0,0.0,0.9,1.0,0.0,F3
80.48,53.04,55.04,66.52,68.2,84.2,0.5,1.0,0.0,0.9,1.0,0.0,F3
82.97,53.04,55.04,59.07,61.29,80.55,0.5,1.0,0.0,0.9,1.0,0.0,F3
79.24,53.04,55.04,66.51,68.16,83.57,0.5,1.0,0.0,0.9,1.0,0.0,F3
85.68,53.04,55.04,64.52,66.84,86.2,0.5,1.0,0.0,0.9,1.0,0.0,F3
76.27,53.04,55.04,65.82,67.84,83.99,0.5,1.0,0.0,0.9,1.0,0.0,F3
82.74,53.04,55.04,60.39,62.6,82.11,0.5,1.0,0.0,0.9,1.0,0.0,F3
84.4,53.04,55.04,62.24,64.86,83.5,0.5,1.0,0.0,0.9,1.0,0.0,F3
80.16,53.04,55.04,65.25,67.18,83.71,0.5,1.0,0.0,0.9,1.0,0.0,F3
77.0,53.04,55.04,66.3,67.82,83.73,0.5,1.0,0.0,0.9,1.0,0.0,F3
81.04,53.04,55.04,60.12,62.39,81.78,0.5,1.0,0.0,0.9,1.0,0.0,F4
79.94,53.04,55.04,57.54,60.05,79.29,0.5,1.0,0.0,0.9,1.0,0.0,F4
84.79,53.04,55.04,68.61,70.26,86.8,0.5,1.0,0.0,0.9,1.0,0.0,F4
76.87,53.04,55.04,64.22,66.94,85.57,0.5,1.0,0.0,0.9,1.0,0.0,F4
82.38,53.04,55.04,68.16,70.17,85.66,0.5,1.0,0.0,0.9,1.0,0.0,F4
84.35,53.04,55.04,65.7,67.6,85.73,0.5,1.0,0.0,0.9,1.0,0.0,F4
74.49,53.04,55.04,67.3,69.15,85.32,0.5,1.0,0.0,0.9,1.0,0.0,F4
73.16,53.04,55.04,68.14,69.6,84.59,0.5,1.0,0.0,0.9,1.0,0.0,F4
80.49,53.04,55.04,59.55,61.82,79.86,0.5,1.0,0.0,0.9,1.0,0.0,F4
82.12,53.04,55.04,62.35,64.26,83.34,0.5,1.0,0.0,0.9,1.0,0.0,F4
66.33,53.04,72.5,63.36,65.41,74.86,0.47,1.0,0.0,0.9,0.0,0.0,F5
65.38,53.04,72.5,62.32,64.42,72.91,0.32,1.0,0.0,0.9,0.0,0.0,F5
65.73,53.04,72.5,61.37,64.18,72.53,0.33,1.0,0.0,0.9,0.0,0.0,F5
55.96,53.04,55.04,68.09,68.57,72.19,0.45,1.0,0.0,0.9,0.42,0.0,F5
63.8,53.04,63.58,63.84,65.86,73.9,0.5,1.0,0.0,0.9,0.23,0.0,F5
55.08,53.04,55.04,68.08,68.29,71.31,0.48,1.0,0.0,0.9,0.39,0.0,F5
55.66,53.04,55.04,67.79,68.13,71.01,0.5,1.0,0.0,0.9,0.44,0.0,F5
55.27,53.04,55.04,67.97,68.18,70.7,0.47,1.0,0.0,0.9,0.44,0.0,F5
72.56,65.16,72.5,61.94,74.38,74.9,0.1,0.7,0.34,0.63,0.0,0.0,F5
69.7,53.04,72.5,61.3,65.68,74.64,0.22,1.0,0.0,0.9,0.0,0.0,F5
55.78,53.04,55.04,69.03,69.04,71.06,0.4,1.0,0.0,0.9,0.38,0.0,F6
64.77,53.04,72.5,62.64,63.64,72.71,0.47,1.0,0.0,0.9,0.0,0.0,F6
54.92,53.04,55.04,71.13,70.84,70.76,0.35,1.0,0.0,0.9,0.37,0.0,F6
66.64,53.04,69.2,66.15,66.72,70.21,0.38,1.0,0.0,0.9,0.12,0.0,F6
63.84,53.04,72.5,61.23,62.46,74.82,0.38,1.0,0.0,0.9,0.0,0.0,F6
72.49,72.5,72.5,56.0,73.86,72.49,0.1,0.15,1.0,0.1,0.0,0.23,F6
66.45,53.04,68.73,66.87,67.16,70.09,0.34,1.0,0.0,0.9,0.14,0.0,F6
55.35,53.04,55.04,71.78,71.26,70.85,0.39,1.0,0.0,0.9,0.39,0.0,F6
65.23,53.04,72.5,59.62,61.61,76.39,0.35,1.0,0.0,0.9,0.0,0.0,F6
56.7,53.04,55.04,68.39,68.3,71.81,0.39,1.0,0.0,0.9,0.35,0.0,F6
57.29,53.04,72.5,58.45,75.77,77.8,0.14,0.29,0.83,0.24,0.0,0.0,F7
70.33,72.5,72.5,55.64,74.36,72.72,0.1,0.15,1.0,0.1,0.0,0.36,F7
50.87,53.04,72.5,59.15,71.66,71.39,0.22,0.14,1.0,0.1,0.0,0.27,F7
53.65,53.04,72.5,63.2,71.28,69.61,0.32,0.12,1.0,0.1,0.0,0.23,F7
54.06,53.56,72.5,62.51,71.53,70.64,0.1,0.15,1.0,0.1,0.0,0.21,F7
53.03,53.04,72.5,61.71,71.25,70.14,0.3,0.13,1.0,0.1,0.0,0.25,F7
53.17,53.04,72.5,63.97,70.88,69.12,0.31,0.12,1.0,0.1,0.0,0.26,F7
59.24,55.6,72.5,58.03,76.92,77.71,0.1,0.27,0.86,0.21,0.0,0.0,F7
53.34,53.04,72.5,64.58,70.69,68.67,0.36,0.12,1.0,0.1,0.0,0.25,F7
53.77,53.92,72.5,61.75,72.77,71.54,0.1,0.15,1.0,0.1,0.0,0.23,F7
72.72,72.5,72.5,55.51,74.75,73.1,0.1,0.15,1.0,0.1,0.0,0.21,Normal
72.54,72.5,72.5,53.67,73.91,71.76,0.1,0.15,1.0,0.1,0.0,0.22,Normal
72.54,72.5,72.5,54.35,73.64,72.0,0.1,0.15,1.0,0.1,0.0,0.24,Normal
58.06,53.04,55.78,68.84,68.72,72.46,0.34,1.0,0.0,0.9,0.34,0.0,Normal
63.95,53.04,72.5,61.66,62.71,69.66,0.4,1.0,0.0,0.9,0.0,0.0,Normal
72.33,72.5,72.5,59.82,73.86,72.05,0.1,0.15,1.0,0.1,0.0,0.25,Normal
54.9,53.04,55.04,70.24,69.18,68.13,0.41,1.0,0.0,0.9,0.39,0.0,Normal
54.31,53.04,55.04,72.02,72.18,67.99,0.44,0.11,1.0,0.1,0.38,0.0,Normal
56.6,53.04,56.6,65.8,66.09,70.71,0.46,1.0,0.0,0.9,0.33,0.0,Normal
57.89,53.04,57.81,66.79,66.47,70.78,0.42,1.0,0.0,0.9,0.32,0.0,Normal
