Supply Air Temperature,Supply Air Temperature Heating Set Point,Supply Air Temperature Cooling Set Point,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Exhaust Air Damper Control Signal,Cooling Coil Valve Control Signal,Heating Coil Valve Control Signal,fault type
54.81,53.04,55.04,72.08,72.26,68.03,0.44,0.11,1.0,0.1,0.4,0.0,Normal
72.22,70.44,72.5,62.62,74.84,73.44,0.1,0.15,1.0,0.1,0.0,0.1,Normal
54.4,53.04,55.04,71.02,70.29,70.45,0.34,1.0,0.0,0.9,0.34,0.0,Normal
56.94,53.04,56.52,65.97,66.28,70.43,0.42,1.0,0.0,0.9,0.33,0.0,Normal
56.81,53.04,56.04,65.65,66.22,70.59,0.42,1.0,0.0,0.9,0.33,0.0,Normal
72.35,68.86,72.5,56.19,77.9,76.11,0.1,0.16,0.98,0.11,0.0,0.0,Normal
56.61,53.04,57.2,65.23,65.74,70.52,0.47,1.0,0.0,0.9,0.3,0.0,Normal
55.57,53.04,55.04,72.51,72.64,68.64,0.42,0.11,1.0,0.1,0.44,0.0,Normal
57.19,53.04,58.0,69.39,69.25,71.06,0.27,1.0,0.0,0.9,0.26,0.0,Normal
55.58,53.04,55.04,72.05,73.11,69.25,0.43,0.11,1.0,0.1,0.4,0.0,Normal
57.66,53.04,55.41,69.13,68.85,72.43,0.36,1.0,0.0,0.9,0.34,0.0,Normal
72.44,72.5,72.5,53.68,73.56,71.77,0.1,0.15,1.0,0.1,0.0,0.23,Normal
72.58,72.5,72.5,59.16,74.13,72.05,0.1,0.15,1.0,0.1,0.0,0.22,Normal
63.55,53.04,72.5,62.01,62.85,72.26,0.49,1.0,0.0,0.9,0.0,0.0,Normal
72.27,72.5,72.5,53.91,73.34,71.76,0.1,0.15,1.0,0.1,0.0,0.24,Normal
72.44,72.5,72.5,59.31,74.13,72.05,0.1,0.15,1.0,0.1,0.0,0.23,Normal
56.03,53.04,55.04,69.76,69.65,71.7,0.39,1.0,0.0,0.9,0.37,0.0,Normal
64.29,53.04,64.87,68.76,68.67,69.79,0.27,1.0,0.0,0.9,0.23,0.0,Normal
56.59,53.04,57.0,69.63,69.38,71.35,0.27,1.0,0.0,0.9,0.3,0.0,Normal
54.22,53.04,55.04,71.86,71.14,70.93,0.3,1.0,0.0,0.9,0.31,0.0,Normal
61.37,53.04,72.5,58.33,60.33,73.44,0.35,1.0,0.0,0.9,0.0,0.0,Normal
61.56,53.04,72.5,58.05,60.04,73.91,0.34,1.0,0.0,0.9,0.0,0.0,Normal
66.86,53.04,68.98,68.48,68.35,70.55,0.31,1.0,0.0,0.9,0.14,0.0,Normal
63.01,53.04,72.5,60.72,61.91,72.53,0.43,1.0,0.0,0.9,0.0,0.0,Normal
55.73,53.04,55.04,71.61,70.72,71.5,0.38,1.0,0.0,0.9,0.37,0.0,Normal
57.11,53.04,56.93,64.4,65.33,70.39,0.48,1.0,0.0,0.9,0.31,0.0,Normal
61.58,53.04,61.45,66.55,66.59,71.58,0.42,1.0,0.0,0.9,0.29,0.0,Normal
59.93,53.04,60.85,65.91,66.31,71.23,0.42,1.0,0.0,0.9,0.24,0.0,Normal
55.41,53.04,55.04,73.73,72.82,68.44,0.44,0.11,1.0,0.1,0.41,0.0,Normal
63.39,53.04,72.5,60.97,62.35,69.97,0.21,1.0,0.0,0.9,0.0,0.0,Normal
61.19,53.04,61.95,65.77,66.33,71.81,0.42,1.0,0.0,0.9,0.22,0.0,Normal
55.93,53.04,55.04,71.66,73.34,69.73,0.42,0.11,1.0,0.1,0.41,0.0,Normal
56.53,53.04,55.04,69.71,69.51,71.82,0.36,1.0,0.0,0.9,0.37,0.0,Normal
54.79,53.04,55.04,72.56,72.21,67.8,0.45,0.11,1.0,0.1,0.4,0.0,Normal
56.89,53.04,56.3,66.2,66.09,70.62,0.45,1.0,0.0,0.9,0.34,0.0,Normal
56.11,53.04,55.04,70.77,70.35,71.42,0.4,1.0,0.0,0.9,0.39,0.0,Normal
55.71,53.04,55.04,71.98,73.13,69.29,0.43,0.11,1.0,0.1,0.4,0.0,Normal
72.42,72.5,72.5,53.69,73.54,71.78,0.1,0.15,1.0,0.1,0.0,0.23,Normal
61.68,53.04,72.5,58.82,60.44,73.06,0.38,1.0,0.0,0.9,0.0,0.0,Normal
63.19,53.04,72.5,60.16,62.21,70.73,0.13,1.0,0.0,0.9,0.0,0.0,Normal
61.4,53.04,61.23,65.53,66.25,71.46,0.41,1.0,0.0,0.9,0.28,0.0,Normal
63.49,53.04,72.5,61.9,62.89,69.58,0.28,1.0,0.0,0.9,0.0,0.0,Normal
72.21,72.5,72.5,59.54,73.85,72.05,0.1,0.15,1.0,0.1,0.0,0.25,Normal
71.3,54.1,72.5,63.54,66.33,76.03,0.1,1.0,0.0,0.9,0.0,0.0,Normal
56.82,53.04,55.04,66.21,66.47,71.3,0.47,1.0,0.0,0.9,0.33,0.0,Normal
55.52,53.04,55.04,73.32,73.05,68.9,0.42,0.11,1.0,0.1,0.4,0.0,Normal
56.86,53.04,55.04,68.34,68.55,72.02,0.38,1.0,0.0,0.9,0.35,0.0,Normal
65.66,53.04,67.56,68.57,68.49,70.28,0.3,1.0,0.0,0.9,0.16,0.0,Normal
67.9,53.04,69.96,67.81,67.98,70.83,0.34,1.0,0.0,0.9,0.1,0.0,Normal
54.79,53.04,55.04,70.39,69.68,68.24,0.4,1.0,0.0,0.9,0.39,0.0,Normal
54.19,53.04,55.04,71.26,70.41,70.51,0.32,1.0,0.0,0.9,0.33,0.0,Normal
55.86,53.04,55.04,72.34,72.3,68.05,0.46,0.11,1.0,0.1,0.45,0.0,Normal
57.59,53.04,57.36,65.78,66.25,70.57,0.4,1.0,0.0,0.9,0.33,0.0,Normal
72.83,72.5,72.5,55.11,74.29,72.75,0.1,0.15,1.0,0.1,0.0,0.21,Normal
72.6,72.5,72.5,59.09,74.5,72.05,0.1,0.15,1.0,0.1,0.0,0.23,Normal
54.55,53.04,55.04,70.42,70.2,71.13,0.31,1.0,0.0,0.9,0.33,0.0,Normal
57.88,53.04,58.42,65.53,65.64,70.51,0.44,1.0,0.0,0.9,0.29,0.0,Normal
56.98,53.04,56.15,64.96,65.72,70.61,0.47,1.0,0.0,0.9,0.35,0.0,Normal
61.06,53.04,61.75,65.97,66.41,71.78,0.43,1.0,0.0,0.9,0.24,0.0,Normal
54.05,53.04,55.04,70.07,69.56,69.96,0.35,1.0,0.0,0.9,0.33,0.0,Normal
67.7,53.04,68.9,66.51,67.22,73.66,0.46,1.0,0.0,0.9,0.0,0.0,Normal
